number,name,author,copyright,copydate,lyrics
96,My Refuge,"Jason Halbert, Jeff Deyo, Otto Price",Emack/Sonic Flood,1988,"Verse 1:
I take my refuge in the palm of Your hand
I take my comfort in Your perfect plan
I take my sorrow and law it down at Your feet
I take my refuge where I can be free

Chorus:
In You, oh Lord
In You, my God
When there's nowhere to turn, and there's nothing that's true
I find my peace here in You

Verse 2:
I take my shelter in the shade of Your wings
I take my pleasure in the hope that You bring
I take my weakness to the foot of the cross
I take my refuge where I can get lost

Bridge:
I worship You Lord, for all that you are
I stretch out my faith, and lay down my heart
There's nowhere else that I'd rather be
Where there's more you, and where there's less me

Ending:
I worship You
With all my heart and soul
"
97,Not Be Shaken,Norm Strauss,Vineyard,1997,"Verse 1:
I will declare my choice to the nations
I will shout for joy in the congregation
I will worship God (Worship God)
All my days

Verse 2:
Those who love the Lord are satisfied
Those who trust in Him are justified
I will serve my God (Serve my God)
All my days

Chorus:
When the nations crumble
The Word of the Lord will stand
Kings may rise and fall
His love will endure
Though the strong may stumble
The joy of the Lord is strength

Bridge:
To my soul
I will not be shaken
I will not be moved
I will not be shaken
"
98,Not To Us,"Chris Tomlin, Jesse Reeves",worshiptogether.com/Six Steps,2002,"Verse 1:
The cross before me the world behind
No turning back raise the banner high
It's not for me, It's all for You
Let the heavens shake and split the sky
Let the people clap their hands and cry
It's not for us, it's all for You

Chorus:
Not to us, but to Your name, be the glory
Not to us, but to Your name, be the glory

Verse 2:
Our hearts unfold before Your throne
The only place for those who know
It's not for us, it's all for You
Send Your holy fire on this offering
Let our worship burn for the world to see
It's not for us, it's all for You

Bridge:
The earth is shaking, the mountains shouting
It's all for You
The waves are crashing, the sun is raging
It's all for You
The universe spinning and singing
It's all for You
Your children dancing, dancing, dancing
It's all for You, it's all for You
"
99,Oh Lord My Heart Longs To Be,Unknown,No Copyright Information,,"Verse 1:
Oh Lord my heart longs to be
A habitation fit for Thee
A place where peace reigns, and love can flourish
A heart where You will feel at home

Verse 2:
Oh Lord I want to be like You
My tongue to speak the words You do
My hands to stretch forth, in healing others
My feet to carry the good news

Chorus:
That You are God, You're the Way
You're the Truth and You're the Life
King of kings, Lord of lords
Prince of Peace, Lord Jesus Christ
And by Your shed blood, the Great Redeemer
You saved my soul You paid the price
You saved my soul now have my life
"
100,Once Again,Matt Redman,Thankyou,1995,"Verse 1:
Jesus Christ, I think upon Your sacrifice 
You became nothing, poured out to death 
Many times I've wondered at
Your gift of life 
And I'm in that place once again 
I'm in that place once again 

Chorus:
And once again I look upon
The cross where You died 
I'm humbled by Your mercy
And I'm broken inside 
Once again I thank You 
Once again I pour out my life 

Verse 2:
Now You are exalted to the highest place 
King of the heavens
Where one day I'll bow 
But for now, I marvel at Your saving grace 
And I'm full of praise once again 
I'm full of praise once again

Bridge:
Thank You for the cross 
Thank You for the cross 
Thank You for the cross, my Friend 
Thank You for the cross 
Thank You for the cross 
Thank You for the cross, my Friend 
"
101,One Pure And Holy Passion,Mark Altrogge,Sovereign Grace/Dayspring,1988,"Verse:
Give me one pure and holy passion
And give me one magnificent obsession
Give me one glorious ambition for my life
To know and follow hard after You

Chorus:
To know and follow hard after You
To grow as Your disciple in the truth
This world is empty, pale and poor
Compared to knowing You, my Lord
Lead me on and I will run after You
Lead me on and I will run after You
"
102,One Voice,Robert Gray,Integrity,1989,"Verse 1:
Father, we ask of You this day
To come and heal our land
Knit our hearts together
That Your glory may be seen in us
Then the world will know
That Jesus Christ is Lord

Chorus:
Let us be one voice that glorifies Your name
Let us be one voice declaring that You reign
Let us be one voice, in love and harmony
And we pray, O God, grant us unity

Verse 2:
Now is the time for you and I
To join our hearts in praise
That the name of Jesus
Will be lifted high above the earth
Then the world will know
That Jesus Christ is Lord
"
103,Only The Blood,Brian Doerksen,Mercy,1990,"Verse:
Holiness is Your life in me,
Making me clean through Your blood
Holiness is Your fire in me,
Purging my heart like a flood
I know You are perfect in holiness
Your life in me setting me free, making me holy

Chorus:
Only the blood of Jesus, covers all of my sins
Only the life of Jesus, renews me from within
Your blood is enough, Your mercy complete
Your work of atonement,
Paid for my debts, making me holy
Only the blood of Jesus
"
104,Open The Eyes Of My Heart,Paul Baloche,Integrity,1997,"Verse:
Open the eyes of my heart, Lord
Open the eyes of my heart
I want to see You, I want to see You
Open the eyes of my heart, Lord
Open the eyes of my heart
I want to see You, I want to see You

Chorus:
To see You high and lifted up
Shining in the light of Your glory
Pour out Your power and love
As we sing “Holy, Holy, Holy!�?

Ending:
Holy, Holy, Holy
Holy, Holy, Holy
Holy, Holy, Holy
I want to see You
"
105,Pass It On,Kurt Kaiser,Bud John Songs,1969,"Verse 1:
It only takes a spark to get a fire going
And soon all those around, can warm up in its glowing
That's how it is with God's love
Once you've experienced it,
You spread His love to everyone
You want to pass it on

Verse 2:
What a wondrous time is spring
When all the trees are budding
The birds begin to sing
The flowers start their blooming
That's how it is with God's love
Once you've experienced it
You want to sing, it's fresh like spring
You want to pass it on

Verse 3:
I wish for you my friend
This happiness that I have found
You can depend on Him
It matters not where you are bound
I'll shout it from the mountain top (Praise the Lord!)
I want my world to know
The Lord of love, has come to me
I want to pass it on
"
106,"Pharaoh, Pharaoh",Tony Sbrana,Tony Sbrana,1971,"Chorus:
Pharaoh, Pharaoh, oooh baby, let my people go!
Uh! Yea, yea, yea, yea
Pharaoh, Pharaoh, oooh baby, let my people go!
Uh! Yea, yea, yea, yea

Verse 1:
Well a burning bush told me just the other day
That I should come over here and stay
Gotta get my people outta Pharaoh's hand
And lead them all to the promised land, I said

Verse 2:
Well-a me ‘n God's people comin' to the Red Sea
And Pharaoh's army comin' after me
I raised my rod and stuck it in the sand
All of God's people walked across dry land, I said

Verse 3:
Well-a Pharaoh's army is comin' too
So what do you think that I did do?
I raised my rod and I cleared my throat
And all of Pharaoh's army did the dead man's float, I said
"
107,Power Of Your Love,Geoff Bullock,Word/Marantha,1992,"Verse 1:
Lord I come to You
Let my heart be changed, renewed
Flowing from the grace that I've found in You
Lord I've come to know the weaknesses I see in me
Will be stripped away by the power of Your love

Chorus:
Hold me close
Let Your love surround me
Bring me near
Draw me to Your side
And as I wait
I'll rise up like the eagle
And I will soar with you
Your spirit leads me on
In the power of Your love

Verse 2:
Lord unveil my eyes
Let me see You face to face
The knowledge of Your love as You live in me
Lord renew my mind as Your will unfolds in my life
In living everyday by the power of Your love
"
108,Praise The Lord,Marc Chopinsky,Maranatha,1984,"Chorus:
Praise the Lord
Praise the Lord from the heavens
All the angels sing praise the Lord
Praise the Lord from the heights of creation
They shall praise the name of the Lord

Verse 1:
He commanded them and the heavens were made
He established them and they won't pass away
The sun and moon praise the Lord with their light
All the beasts in the field, all the birds in their flight

Verse 2:
And on all the earth let all nature agree
From the mountain tops to the depths of the sea
The wind and rain and the fiery light
All the stars in the field keep on shining through the night

Verse 3:
All the people who inhabit the world
From the ruling kings to the boys and the girls
The young and old all give praise to His name
God alone is supreme let the angels proclaim
"
109,You Are Holy (Prince Of Peace),"Marc Imboden, Tammi Rhoton",Imboden/Martha Jo,1994,"Verse:
You are holy (You are holy)
You are mighty (You are mighty)
You are worthy (You are worthy)
Worthy of praise (Worthy of praise)
I will follow (I will follow)
I will listen (I will listen)
I will love You (I will love You)
All of my days (All of my days)

Chorus (part 1):
I will sing to (You're the Lord of lords)
And worship (You're the King of kings)
The King who (You are mighty God)
Is worthy (Lord of everything)
I will love Him (You're Emmanuel)
Adore Him (You're the Great I am)
I will bow down (You're the Prince of Peace)
Before Him (Who is the lamb)

Chorus (part 2):
I will sing to (You're the living God)
And worship (You're my saving grace)
The King who (You will reign forever)
Is worthy (You are ancient of days)
I will love Him (You are alpha omega)
Adore Him (Beginning and End)
I will bow down (You're my Savior Messiah)
Before Him (Redeemer and Friend)

Chorus (part 3):
You're my prince of peace
And I will live my life for You"
110,Prize Of My Life,"Steve Cook, Vikki Cook",Word/PDI,1991,"Verse 1:
My Father, how You care for me
Filling my life with good
Your faithful ways bring hope and peace, day after day
There is none who compares with You
On the earth or the skies above
Lord, I long to be near to You
You're the greatest joy, my highest love

Chorus:
You are my glorious prize, Father
You are the passion that fills my life
My treasure of treasures
A wealth without measure to me
And You'll always be the prize of my life

Verse 2:
My Father, draw me to Your side
For You are my soul's delight
To hear Your voice, to know Your heart, my burning desire
There is none who compares with You
On the earth or the skies above
Lord, I long to be near to You 
You're my greatest joy, my highest love
"
111,Praise The Lord Give Thanks To The Lord (Psalm 106),"Elton Smith, Gilberto Barreto",Gilberto Barreto/Elton Smith,1996,"Verse:
Praise the Lord give thanks to the Lord for He is good
Praise the Lord give thanks to the Lord for He is good
His steadfast love endures forever and He is good
His steadfast love endures forever and He is good
And we shall tell the mighty deeds of the Lord
And show forth all of His praise, hallelujah!

Chorus:
Blessed be the Lord the God of Israel
From everlasting to everlasting
Blessed be the Lord the God of Israel
From everlasting to everlasting
And all God's people said Amen! AMEN!
And all God's people said Amen! AMEN!
And all God's people said Amen
All praise the Lord
"
112,Psalm Of Thanks,Andy Park,Mercy/Vineyard,1992,"Verse 1:
Give thanks unto the Lord, call on His name
Give thanks unto the Lord, call on His name
And sing to Him, sing praise to Him
Glory in His holy name

Chorus:
And rejoice in the Lord, rejoice in the Lord
Let the hearts of those who seek the Lord rejoice
And rejoice in the Lord, rejoice in the Lord
Let the hearts of those who seek the Lord rejoice

Verse 2:
Give thanks to the Lord for He is good
Give thanks to the Lord for He is good
And His love endures forever
Call upon His holy name

Verse 3:
Tell all the nations what He has done
Tell all the nations what He has done
Tell of His mighty deeds, all His mighty deeds
Glory in His holy name
"
113,Resting Place,Daphne Rademaker,Mercy/Vineyard/Vineyard Canada,1991,"Verse:
Heaven is my throne and earth is my footstool
Where is the house you will build for me?
Whom of you will hear the cry of my heart?
Where will my resting place be?

Chorus:
Here oh Lord, have I prepared for You a home
Long have I desired for You to dwell
Here oh Lord, have I prepared a resting place
Hear oh Lord, I wait for You alone
"
114,River Is Here,Andy Park,Mercy/Vineyard,1994,"Verse 1:
Down the mountain the river flows
And it brings refreshing wherever it goes
Through the valleys and over the fields
The river is rushing and the river is here

Chorus:
The river of God sets our feet a-dancing
The river of God fills our hearts with cheer
The river of God fills our mouths with laughter
And we rejoice for the river is here

Verse 2:
The river of God is teeming with life 
And all who touch it can be revived 
And those who linger on this river's shore 
Will come back thirsting for more of the Lord 

Verse 3:
Up to the mountain we love to go 
To find the presence of the Lord
Along the banks of the river we run 
We dance with laughter giving praise to the Son 
"
115,Seek Ye First,Karen Lafferty,Maranatha,1972,"Verse 1:
Seek ye first the Kingdom of God and His righteousness
And all these things will be added unto you
Al-le-lu, al-le-lu-ya

Verse 2:
Man shall not live by bread alone but by every word
That proceeds from the mouth of God
Al-le-lu, al-le-lu-ya

Verse 3:
Ask and it shall be given unto you, seek and ye shall find
Knock and the door shall be opened unto you
Al-le-lu, al-le-lu-ya
"
116,"Send Revival, Start With Me",Matt Redman,Kingsway's Thankyou,1996,"Verse 1:
We're looking to Your promise of old
That if we pray and humble ourselves
You will come and heal our land
You will come
You will come

Verse 2:
We're looking to the promise You made
That if we turn and look to Your face
You will come and heal our land
You will come
You will come to us

Chorus:
Lord, send revival, start with me
For I am one of unclean lips
And my eyes have seen the King
Your glory I have glimpsed
Send revival, start with me
"
117,Shine Jesus Shine,Graham Kendrick,Make Way,1987,"Verse 1:
Lord, the light of Your love is shining
In the midst of Your darkness shining
Jesus, Light of the World, shine upon us
Set us free by the truth You now bring us
Shine on me, shine on me

Chorus:
Shine Jesus shine
Fill this land with the Father's glory
Blaze Spirit blaze
Set our hearts on fire
Flow, river, flow
Flood the nations with grace and mercy
Send forth Your Word, Lord and let there be light

Verse 2:
Lord, I come to Your awesome presence
From the shadows into Your radiance
By the blood I may enter Your brightness
Search me, try me, consume all my darkness
Shine on me, shine on me

Verse 3:
As we gaze on Your kingly brightness
So our faces display Your likeness
Ever changing from glory to glory
Mirrored here may our lives tell Your story
Shine on me, shine on me
"
118,Shine,"Peter Furler, Steve Taylor",Ariose/Soylent Tunes,1994,"Verse 1:
Dull as dirt, you can't assert the kind of light that might persuade a strict dictator to retire fire the army, teach the poor origami. The truth is in, the proof is when you hear your heart start asking, What's my motivation?
And try as you may, there isn't a way to explain the kind of change that would make an Eskimo renounce fur, that would make a vegetarian barbecue hamster unless you can trace this about-face to a certain sign.

Chorus:
Shine, make em wonder what you've got
Make em wish that they were not
On the outside looking bored.
Shine, let it shine before all men
Let em see good works and then
Let em glorify the Lord.

Verse 2:
Out of the shaker and onto the plate, it isn't karma, it sure ain't fate that would make a deadhead sell his van, that would make a schizophrenic turn in his crayons. Oprah freaks, and science seeks a rationale that shall excuse this strange behavior.
When you let it shine, you will inspire the kind of entire turnaround that would make a bouncer take ballet (even bouncers who aren't happy) but out of the glare, with nowhere to turn, you ain't gonna learn it on &quot;What's My Line?&quot;
"
119,Shout To The Lord,Darlene Zschech,Hillsong,1993,"Verse:
My Jesus, my Savior, Lord there is none like You
All of my days, I want to praise
The wonders of Your mighty love

Verse 2:
My Comfort, my Shelter, Tower of Refuge and Strength
Let every breath, all that I am
Never cease to worship You

Chorus:
Shout to the Lord, all the earth, let us sing
Power and majesty, praise to the King
Mountains bow down and the seas will roar
At the sound of Your name

Chorus b:
I sing for joy at the work of Your hands
Forever I'll love You, forever I'll stand
Nothing compares to the promise I have in You
"
120,Show Your Power,Kevin Prosch,Mercy/Vineyard,1991,"Verse 1:
He is the Lord and He reigns on high
He is the Lord
Spoke into darkness, created the light
He is the Lord
Who is like unto Him, never-ending in days
He is the Lord
And He comes in power when we call on His name
He is the Lord

Chorus:
Show Your power, Oh Lord our God
Show Your power, Oh Lord our God, our God

Verse 2:
Your gospel oh Lord is the hope for our nation
You are the Lord
It's the power of God for our salvation
You are the Lord
We ask not for riches but look to the cross
You are the Lord
And for our inheritance give us the lost
You are the Lord

Chorus 2:
Send Your power, Oh Lord our God
Send Your power, Oh Lord our God, our God
"
121,Step By Step,David &quot;Beaker&quot; Strasser,BMG,1991,"Chorus:
Oh God, You are my God
And I will ever praise You
Oh God, You are my God
And I will ever praise You

Verse 1:
I will seek You in the morning
And I will learn to walk in Your ways
And step by step You'll lead me
And I will follow You all of my days

Verse 2:
And I will follow You all of my days
And I will follow You all of my days
And step by step You'll lead me
And I will follow You all of my days
"
122,Still Small Voice,Brian Doerksen,Mercy/Vineyard,1992,"Verse:
When I hear Your still small voice
Your kindness stirs me within
Lord I need to hear Your voice
To lead me and break me once again

Chorus:
Speak my Lord, I want to hear
Your voice is all that I need
Speak my Lord, I will obey
Your voice is life to me
"
123,Stir In Me,Todd Proctor,Maranatha,1998,"Verse:
Stir in me
A fire that the world cannot explain
I've come to worship You
Stir in me
A passion that my heart cannot contain
I've come to worship You

Chorus:
Hold me, break me
Mold me and make me
More and more like You
I've come to worship You
Love You, fear You
Draw ever near You as I worship You
I've come to worship You
"
124,Strength Of My Life,Leslie Phillips,Word,1984,"Verse 1:
Every day I look to You
To be the strength of my life
You're the hope I hold on to
Be the strength of my life

Chorus:
Be the strength of my life
The strength of my life
Be the strength of my life today
Be the strength of my life
The strength of my life
Be the strength of my life today
"
125,Surrender,Marc James,Vineyard,2000,"Verse 1:
I'm giving You my heart
And all that is within
I lay it all down
For the sake of You my King
I'm giving You my dreams
I'm laying down my rights
I'm giving up my pride
For the promise of new life

Chorus:
And I surrender all to You, all to You
And I surrender all to You, all to You

Verse 2:
I'm singing You this song
I'm waiting at the cross
And all the world holds dear
I count it all as loss
For the sake of knowing You
The glory of Your name
To know the lasting joy
Even sharing in Your pain"
126,Thank You For The Blood,Matt Redman,Thankyou,1999,"Verse:
Thank You, thank You for the blood that You shed
Standing in Your blessing we sing these freedom songs
Thank You, thank You for the battle You won
Standing in Your victory we sing salvation songs
We sing salvation songs

Chorus:
You have opened a way to the Father
Where before we could never have come
Jesus, count us as Yours now forever
As we sing these freedom songs

Bridge:
We sing of all You've done
We sing of all You've done
We sing of all You've done for us
Won for us, paid for us
"
127,The Wonderful Cross,"Chris Tomlin, Isaac Watts, J.D. Walt, Jesse Reeves",worshiptogether.com/Six Steps,2000,"Verse 1:
When I survey the wondrous cross
On which the Prince of glory died
My richest gain I count but loss
And pour contempt on all my pride

Verse 2:
See from His head, His hands, His feet
Sorrow and love flow mingled down
Did e'er such love and sorrow meet
Or thorns compose so rich a crown?

Chorus:
Oh the wonderful Cross, oh the wonderful Cross
Bids me come and die and find that I may truly live
Oh the wonderful Cross, oh the wonderful Cross
All who gather here by grace draw near and bless Your name

Verse 3:
Were the whole realm of Nature mine
That were an offering far too small
Love so amazing, so divine
Demands my soul, my life, my all!
"
128,There Is None Like You,Lenny LeBlanc,Integrity,1991,"Chorus:
There is none like You
No one else can touch my heart like You do
And I can search for all eternity long
And find there is none like You

Verse:
Your mercy flows like a river wide
And healing comes from Your hand
Suffering children are safe in Your arms
There is none like You
"
130,Shelter (To Every Generation),Bill Batstone,Maranatha,1986,"Chorus:
You have been a shelter Lord
To every generation, to every generation, Lord
A sanctuary from the storm
To every generation, to every generation, Lord

Verse:
Though the mountains fall
Though the earth should shake
Though the seas should roar with all the heartache
Though our hearts should pound
Though our throats be dry
We will lift Your name on high
"
131,We Are Hungry,Steve Fee,Sparrow,2000,"Verse:
Lord, I want more of You
Living water rain down on me
Lord, I need more of You
Living breath of life come fill me up

Chorus:
We are hungry, we are hungry
We are hungry for more of You
We are thirsty, oh Jesus
We are thirsty for more of You

Bridge:
We lift our holy hands up
We want to touch You
We lift our voices higher
And higher and higher to You
"
132,We Fall Down,Chris Tomlin,worshiptogether.com,1998,"Verse:
We fall down, we lay our crowns
At the feet of Jesus
The greatness of mercy and love
At the feet of Jesus

Chorus:
And we cry holy, holy, holy
And we cry holy, holy, holy
And we cry holy, holy, holy
Is the Lamb
"
133,We Want To See Jesus Lifted High,Doug Horley,Kingsway's Thankyou,1993,"Verse:
We want to see Jesus lifted high
A banner that flies across this land
That all men might see the truth and know
He is the way to heaven

Chorus:
We want to see, we want to see
We want to see Jesus lifted high
We want to see, we want to see
We want to see Jesus lifted high

Bridge:
Step by step we're moving forward
Little by little taking ground
Every prayer a powerful weapon
Strongholds come tumbling down
And down, and down, and down

Chorus 2:
We're gonna see, we're gonna see,
We're gonna see Jesus lifted high
We're gonna see, we're gonna see,
We're gonna see Jesus lifted high
"
134,Who Would Not Love You,John Barnett,Mercy,1990,"Verse 1:
A God of love is what You are to me
A greater friend no one could ever be
In holiness born of Your Spirit's touch
Your never ending love You give so much 

Chorus:
Who would not love You
Who would not worship You
Who would not serve You all their days
Who would not praise You
Who would not honor You
Who would not die for You
Who would not love You

Verse 2:
A Father's love is what You give to me
A guiding hand a light so I can see
In knowing You I've found my heart's desire
In loving You I've touched Your holy fire
"
135,You're Worthy Of My Praise,David Ruis,Maranatha,1991,"Verse 1:
I will worship (I will worship)
With all of my heart (With all of my heart)
I will praise You (I will praise You)
With all of my strength (All my strength)
I will seek You (I will seek You)
All of my days (All of my days)
I will follow (I will follow)
All of Your ways (All Your ways)

Chorus:
I will give You all my worship
I will give You all my praise
You alone I long to worship
You alone are worthy of my praise

Verse 2:
I will bow down (I will bow down)
Hail You as King (Hail You as King)
I will serve You (I will serve You)
Give You everything (Give You everything)
I will lift up (I will lift up)
My eyes to Your throne (My eyes to Your throne)
I will trust You (I will trust You)
Trust You alone (Trust in You alone)"
137,You Are My King (Amazing Love),Billy James Foote,worshiptogether.com,1999,"Verse:
I'm forgiven, because You were forsaken
I'm accepted, You were condemned
I'm alive and well, Your Spirit is within me
Because You died and rose again

Chorus:
Amazing love, how can it be
That You, my King, would die for me?
Amazing love, I know it's true
It's my joy to honor You
In all I do I honor You

Bridge:
You are my king
You are my king
Jesus, You are my king
Jesus, You are my king
"
138,You Are So Faithful,"Lenny LeBlanc, Greg Gulley",Doulos,1989,"Verse 1:
Like the sun, that rises every day
You are so faithful
Dear Lord You are faithful
Like the rain that You bring
And every breath that I breathe
You are so faithful, Lord

Verse 2:
Like a rose that comes alive every spring
You are so faithful
Dear Lord You are faithful
Like the life that You give
To every beat of my heart
You are so faithful, Lord

Bridge:
I see the cross and the price
You had to pay
I see the blood that
Washed my sins away

Chorus:
And in the midst of the storm
Through the wind and the waves
You'll still be faithful
You'll still be faithful
And when the stars refuse to shine
And time is no more
You'll still be faithful
You'll still be faithful, Lord"
139,You Draw Me Closer,Brent Helming,Mercy/Vineyard,1997,"Verse 1:
Lord it is Your love
That can find me wherever I run
And draw me closer
You draw me closer

Verse 2:
Though I turn away
Your mercy brings me back to You again
As You draw me closer
You draw me closer

Chorus:
Never have I found an end 
To the gracious love that You extend
All I have to do is ask
And You are there
Drawing me closer

Bridge:
Draw me closer…
"
140,You Said,Reuben Morgan,Hillsong,1998,"Verse 1:
You said,
“Ask and you will receive, whatever you need�?
You said,
“Pray and I'll hear from heaven,
And I'll heal your land�?

Verse 2:
You said,
“Your glory will fill the earth, like water the sea�?
You said,
“Lift up your eyes, the harvest is here,
The kingdom is near�?

Chorus:
You said, “Ask and I'll give the nations to you�?
Oh Lord, that's the cry of my heart
Distant shores and the islands will see
Your light, as it rises on us
"
141,Your Beloved,Brent Helming,Mercy/Vineyard,1996,"Verse:
Lord it was You
Who created the heavens
Lord it was Your hands
That put the stars in their place
Lord it is Your voice
That commands the morning
Even oceans and their waves
Will bow at Your feet

Pre-Chorus:
Lord who am I
Compared to Your glory, oh Lord
Lord who am I
Compared to Your majesty

Chorus:
I am Your beloved, Your creation
And You love me as I am
You have called me, chosen
For Your kingdom
Unashamed to call me Your own
I am Your beloved"
142,Your Love Is Extravagant,Darrell Evans,Integrity,1998,"Verse:
Your love is extravagant
Your friendship mmmmm intimate
I find I'm moving
To the rhythms of Your grace
Your fragrance is intoxicating
In our secret place
Your love is extravagant

Chorus:
Spread wide in the arms of Christ
Is the love that covers sin
No greater love have I ever known
You considered me a friend
Capture my heart again
"
143,Your Love Oh Lord,Third Day,New Spring/Vandura/Gray Dot,1999,"Verse:
Your love oh Lord reaches to the heavens
Your faithfulness stretches to the sky
Your righteousness
Is like the mighty mountain
And Your justice flows
Like the oceans tides

Chorus:
And I will lift my voice
To worship You my King
And I will find my strength
In the shadow of Your wings
"
1,All That I Need,Dan Marks,Maranatha,1992,"Verse 1:
There is one thing that I know I will do
I will be holding on to You
And when the dark clouds come and bring down the rain
I know that You will sustain me Lord

Chorus:
Your love is all that I need
All that I need, all that I need
Your love is all that I need
All that I need is You

Verse 2:
Jesus, You know what's inside of my heart
When I am coming apart at the seams
But that's when my true colors come shining through
I know that You are the One for me"
146,Consuming Fire,Tim Hughes,Thankyou,2002,"Verse 1:
There must be more than this
O, breath of God come breathe within
There must be more than this
Spirit of God we wait for You
Fill us anew we pray
Fill us anew we pray

Chorus:
Consuming fire fan into flame
A passion for Your name
Spirit of God fall in this place
Lord have Your way
Lord have Your way with us

Verse 2:
Come like a rushing wind
Clothe us with power from on high
Now set the captives free
Leave us abandoned to Your praise
Lord, let Your glory fall
Lord, let Your glory fall
"
150,Hallelujah (Your Love Is Amazing),"Brian Doerksen, Brenton Brown",Vineyard,2000,"Verse 1:
Your love is amazing, steady and unchanging
Your love is a mountain, firm beneath my feet
Your love is a mystery, how You gently lift me
When I am surrounded, Your love carries me

Chorus:
Hallelujah, hallelujah
Hallelujah, Your love makes me sing
Hallelujah, hallelujah
Hallelujah, Your love makes me sing

Verse 2:
Your love is surprising, I can feel it rising
All the joy that's growing, deep inside of me
Every time I see you, all Your goodness shines through
And I can feel this God song, rising up in me
"
151,"Lord, Let Your Glory Fall",Matt Redman,Thankyou,1998,"Verse 1:
Lord let Your glory fall
As on that ancient day
Songs of enduring love
And then Your glory came
And as a sign to You
That we would love the same,
Our hearts will sing that song
God, let Your glory come

Chorus:
You are good, You are good,
And Your love endures
You are good, You are good,
And Your love endures
You are good, You are good,
And Your love endures today

Verse 2:
Voices in unison
Giving You thanks and praise
Joined by the instruments
And then Your glory came
Your presence like a cloud
Upon that ancient day
The priests were overwhelmed
Because Your glory came

Verse 3:
A sacrifice was made
And then Your fire came
They knelt upon the ground
And with one voice they praised
"
152,King Of Majesty,Marty Sampson,Hillsong,2000,"Verse 1:
You know that I love You
You know that I want to
Know You so much more
More than I have before

Verse 2:
These words are from my heart
These words are not made up
I will live for You
I am devoted to You

Chorus:
King of Majesty, I have one desire
Just to be with You my Lord
Just to be with You my Lord
Jesus, You are the Savior of my soul
And forever and ever I'll give my praises to You
"
153,Trading My Sorrows,Darrell Evans,Integrity,1998,"Verse 1:
I'm trading my sorrows
I'm trading my shame
I'm laying them down for the joy of the Lord

Verse 2:
I'm trading my sickness
I'm trading my pain
I'm laying it down for the joy of the Lord

Chorus:
We say yes Lord yes Lord yes yes Lord
Yes Lord yes Lord yes yes Lord
Yes Lord yes Lord yes yes Lord Amen

Bridge:
I'm pressed but not crushed
Persecuted not abandoned
Struck down but not destroyed
I am blessed beyond the curse
For his promise will endure
That His joy's gonna be my strength
Though the sorrow may last for the night
His joy comes with the morning
"
154,King Of This Heart,Matt Redman,Thankyou,2000,"Verse 1:
Time is too short to say it's okay
To think I can live this way
For just another day
So I'll search through the night
For the One my heart loves
Won't stop ‘til I've found You
For Lord, I need to hold You close

Chorus:
Be the King of this heart again
Be the King of this life
In my soul there's a cry today
Be the King of this heart
Be the King of this heart

Verse 2:
I've stood in the desert
And thirsted for You
I've run through the city
Now I won't let go
I'm throwing myself on Your mercy, O God
You say it's all or nothing
I'm saying, “Jesus, have it all�?

Bridge:
Be the light for my eyes
Be the strength for my feet
Be the love of my soul
Be my everything
Be my day and my night
When I wake, when I sleep
Undivided my heart will be
"
155,Meet With Me,Lamont Hiebert,Maranatha,1999,"Verse:
I'm here to meet with You
Come and meet with me
I'm here to find You
Reveal Yourself to me

Chorus:
As I wait, You make me strong
As I long, You draw me to Your arms
As I stand, and sing Your praise
You come, You come, and You fill this place
"
156,Sweet Mercies,David Ruis,Mercy/Vineyard,1995,"Verse:
It's our confession, Lord, that we are weak
So very weak, but You are strong
And though we've nothing, Lord, to lay at Your feet
We come to Your feet and say, “Help us along�?

Pre-Chorus:
A broken heart and a contrite spirit
You have yet to deny
Your heart of mercy beats with love's strong current
Let the river flow by Your Spirit now, Lord, we cry

Chorus:
Let Your mercies fall from heaven
Sweet mercies fall from heaven
New mercies for today
Shower them down, Lord, as we pray
"
157,God Is Great,Marty Sampson,Hillsong,2001,"Verse 1:
All creation cries to You
Worshipping in Spirit and in truth
Glory to the Faithful One
Jesus Christ God's Son

Verse 2:
All creation gives You praise
You alone are truly great
You alone are God who reigns
For eternity

Chorus:
God is great and His praise
Fills the earth, fills the heavens
And Your name will be praised
Through all the world
God is great, sing His praise
All the earth, all the heavens
‘Cause we're living for the glory of Your name
The glory of Your name

Verse 3:
All to You Oh God we bring
Jesus teach us how to live
Let Your fire burn in us
That we may hear and all may see

Bridge:
Holy is the Lord
The whole earth sings, the whole earth sings
Holy is the Lord
The whole earth sings, the whole earth sings
"
158,When I Think About The Lord,James Huey,CFN,1998,"Verse:
When I Think about the Lord
How He saved me, how He raised me
How He filled me with the Holy Ghost
How He healed me to the uttermost
When I think about the Lord
How he picked me up 
Turned me around
How he set my feet
On solid ground

Chorus:
It makes me want to shout
Hallelujah, thank you, Jesus
Lord, You're worthy
Of all the glory, and all the honor
And all the praise

Chorus part 2:
It makes me want to shout
Hallelujah, thank you, Jesus
Lord, You're worthy
Of all the glory, and all the honor
And all the praise
"
159,I'll Serve You,Jeff Reynolds,Mercy/Vineyard,1993,"Verse:
Lord I'll hear
When You speak my name
Yes, it's clear
I'll never be the same
I'm giving all
All I am to You
So let Your love
Let Your love shine through

Chorus:
I'll serve You, I'll love You
I'll put no one above You
I'll serve You, I'll love You
I'll put no one above You"
