number,name,author,copyright,copydate,lyrics
14,Christ In Me,Gary Garcia,Maranatha,1976,"Verse:
Christ in me is to live
To die is to gain
Christ in me is to live
To die is to gain

Chorus:
He's my King
He's my song
He's my life
And He's my joy
He's my strength
He's my sword
He's my peace
He's my Lord

Verse Harmony: As I look to the stars and the space
I can see, I can see His beautiful face
In the world of every boy and girl
As I look to the stars and the space
I can see, I can see His beautiful face
In the world of every boy and girl

Chorus Harmony:
As I touch my eyes
I can feel, I can feel that I'm starting to cry
And I ask why,
Why He had to die
As I touch my eyes
I can feel, I can feel that I'm starting to cry
And I ask why,
Why He had to die"
15,Come And Fill Me Up,Brian Doerksen,Vineyard Canada,1990,"Verse 1:
I can feel You flowing through me
Holy Spirit come and fill me up
Come and fill me up

Verse 2:
Love and mercy fill my senses
I am thirsting for Your presence Lord
Come and fill me up

Pre-Chorus:
Lord let Your mercy wash away all of my sins
Fill me completely with Your love
Once again

Chorus:
I need You I want You
I love Your presence
I need You I want You
I love Your presence"
16,Come Unto Me,Charles Jones,Public Domain,,"Chorus:
Come unto Me all who are weak
Weary and heavy laden
Gentle am I, humble in heart
And you shall find rest for your soul

Verse 1:
All things are given unto those who believe
Princes and lowly ones His blessings receive
And just when I think that means everyone but me
Jesus comes beckoning to me

Verse 2:
Enter the holy gates just as you are
No need for a happy face just come with your heart
And Jesus will bring us a joyful melody
If only His calling we heed

Verse 3:
We are His little ones, children of God
Children and fellow heirs of His kingdom come
And we share the greatest love the world has ever seen
Here in the Lord's family"
17,Come Now Is The Time To Worship,Brian Doerksen,Vineyard,1998,"Chorus:
Come, now is the time to worship
Come, now is the time to give your heart
Come, just as you are to worship
Come, just as you are before your God, come

Verse:
One day every tongue will confess You are God
One day every knee will bow
Still the greatest treasure remains for those
Who gladly choose You now

Ending:
Come. Come"
18,Cry Of My Heart,Terry Butler,Mercy/Vineyard,1991,"Chorus:
It is the cry of my heart to follow You
It is the cry of my heart to be close to You
It is the cry of my heart to follow
All of the days of my life

Verse 1:
Teach me Your holy ways, oh Lord
So I can walk in Your truth
Teach me Your holy ways, oh Lord
And make me wholly devoted to You

Verse 2:
Open my eyes so I can see
The wonderful things that You do
Open my heart up more and more
And make it wholly devoted to You"
20,Deep Down In My Heart,Unknown,No Copyright Information,,"Chorus:
Deep, deep, whoa - - deep down, down
Deep down in my heart, I love You Jesus
Deep, deep, whoa - - deep down, down
Deep down in my heart

Verse:
Do you love your Jesus
Deep down in your heart?
YES, I LOVE MY JESUS!
Deep down in my heart"
21,Did You Feel the Mountains Tremble,Martin Smith,Curious?,1994,"Verse 1:
Did you feel the mountains tremble?
Did you hear the oceans roar?
When the people rose to sing of
Jesus Christ the risen One

Verse 2:
Did you feel the people tremble?
Did you hear the singers roar?
When the lost began to sing of
Jesus Christ the saving One

Bridge:
And we can see that God You're moving
A mighty river through the nations
And young and old will turn to Jesus
Fling wide you heavenly gates
Prepare the way of the risen Lord

Chorus:
Open up the doors and let the music play,
Let the streets resound with singing,
Songs that bring Your hope, songs that bring Your joy,
Dancers who dance upon injustice

Verse 3:
Do you feel the darkness tremble
When all the saints join in one song?
And all the streams flow as one river
To wash away our brokenness


Bridge 2:
And here we see that God You're moving
A time of jubilee is coming
When young and old return to Jesus
Fling wide you heavenly gates
Prepare the way of the risen Lord"
22,Draw Me Close To You,Kelly Carpenter,Mercy/Vineyard,1991,"Verse 1:
Draw me close to You
Never let me go
I lay it all down again
To hear You say that I'm Your friend

Verse 2:
You are my desire
No one else will do
'Cause nothing else could take Your place
To feel the warmth of Your embrace
Help me find the way, bring me back to You

Chorus:
You're all I want
You're all I've ever needed
You're all I want
Help me know You are near"
23,Enough,"Chris Tomlin, Louie Giglio",worshiptogether.com,2002,"Verse 1:
You are my supply, my breath of life 
Still more awesome than I know 
You are my reward, worth living for 
Still more awesome than I know 

Chorus:
And all of You is more than enough for 
All of me for every thirst and every need 
You satisfy me with Your love 
And all I have in You is more than enough 

Verse 2:
You're my sacrifice, of greatest price 
Still more awesome than I know 
You're my coming King, you are everything 
Still more awesome than I know 

Bridge:
More than all I want 
More than all I need 
You are more than enough for me 
More than all I know 
More than all I can say
You are more than enough "
149,Shout To The North,Martin Smith,Curious?,1995,"Verse 1:
Men of faith, rise up and sing
Of the great and glorious King
You are strong when you feel weak
In your brokenness, complete

Chorus:
Shout to the north and the south
Sing to the east and the west
Jesus is Savior to all
Lord of heaven and earth

Verse 2:
Rise up women of the truth
Stand and sing to broken hearts
Who can know the healing pow'r
Of our glorious King of love

Bridge:
We've been through fire, we've been through rain
We've been refined by the pow'r of His name
We've fallen deeper in love with You
You've burned the truth on our lips

Verse 3:
Rise up church with broken wings
Fill this place with songs again
Of our God who reigns on high
By His grace again we'll fly
"
24,Eternally Yours,Jim Marian,No Copyright Information,,"Verse 1:
Lord my life You know
Clearly seeing where I need to grow
As You work in me
Cleansing all of my impurities

Chorus:
Lord I thank You for loving me just as I am
Though I'm weak by myself in Your strength I will stand
Your grace is sufficient for me
Eternally Yours (You're all I need and it's all I can do)
Eternally Yours (To surrender my will in submission to You)
Eternally Yours (Your grace is sufficient for me)
Eternally Yours

Verse 2:
As I learn from You
Jesus, patiently You lead me through
Though I often fail
Stumbling, You assure Your love prevails"
25,Every Move I Make,David Ruis,Mercy/Vineyard,1996,"Verse:
Every move I make, I make in You
You make me move, Jesus
Every breath I take, I breathe in You
Every step I take, I take in You
You are my way, Jesus
Every breath I take, I breathe in You

Chorus:
Waves of mercy, waves of grace
Everywhere I look, I see Your face
Your love has captured me
Oh my God this love
How can it be?

Bridge:
La la la la la la,
La la la la la la la la
La la la la la la,
La la la la la la la la"
26,Everyday,Joel Houston,Hillsong,1999,"Verse 1:
What to say Lord?
It's You who gave me life and I
Can't explain just how much
You mean to me now
That You have saved me Lord
I give all that I am to You
That everyday I can
Be a light that shines Your name

Verse 2:
Everyday Lord
I'll learn to stand upon Your Word
And I pray that I
That I might come to know You more
That You would guide me
In every single step I take
That everyday I can
Be a light unto the world

Chorus:
Everyday, it's You I'll live for
Everyday, I'll follow after You
Everyday, I'll walk with You my Lord

Bridge:
It's You I live for, everyday
It's You I live for, everyday
It's You I live for, everyday"
27,Faithful Father,Brian Doerksen,Mercy/Vineyard,1996,"Verse 1:
Father, I can't explain this kind of love, this kind of grace
I know I still break Your heart
And yet you run to welcome me

Chorus:
This is my song of praise to You
For who You are and all that You do
From the moment my life began
You have been faithful

Verse 2:
Father, I love the way You hold me close and say my name
I know when my life is through
My heart will find its home in You

Chorus 2:
This is my song of praise to You
For who You are and all that You do
From the moment my life began
You have been faithful
You will be faithful
Forever faithful
My Father

Ending:
This is my song of praise to You
For who You are and all that You do
From before the world began
You have been faithful
You will be faithful
Forever faithful
My Father
"
